ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Avg_rating,Num_rating,Genres
0399135782,The Kitchen God's Wife,Amy Tan,1991,Putnam Pub Group,8.8,10,"['Historical', 'Romance']"
0440234743,The Testament,John Grisham,1999,Dell,7.684782608695652,92,['Thriller']
0452264464,Beloved (Plume Contemporary Fiction),Toni Morrison,1994,Plume,7.867924528301887,53,"['Horror', 'Historical']"
0609804618,Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source,The Onion,1999,Three Rivers Press,8.181818181818182,11,"['Non-Fiction', 'Comedy']"
0971880107,Wild Animus,Rich Shapero,2004,Too Far,4.020618556701031,194,"['Fantasy', 'Adventure']"
0345402871,Airframe,Michael Crichton,1997,Ballantine Books,7.567567567567567,37,['Thriller']
0345417623,Timeline,MICHAEL CRICHTON,2000,Ballantine Books,7.945652173913044,92,"['Sci-Fi', 'Adventure']"
0375759778,Prague : A Novel,ARTHUR PHILLIPS,2003,Random House Trade Paperbacks,6.375,8,"['Historical', 'Romance']"
0446310786,To Kill a Mockingbird,Harper Lee,1988,Little Brown &amp; Company,9.051470588235292,136,"['Historical', 'Young Adult']"
0449005615,Seabiscuit: An American Legend,LAURA HILLENBRAND,2002,Ballantine Books,8.980392156862745,51,"['Biography', 'Non-Fiction']"
0060168013,Pigs in Heaven,Barbara Kingsolver,1993,Harpercollins,8.11111111111111,9,"['Historical', 'Romance']"
0553582909,Icebound,Dean R. Koontz,2000,Bantam Books,7.555555555555555,9,"['Horror', 'Thriller']"
0671888587,I'll Be Seeing You,Mary Higgins Clark,1994,Pocket,7.413793103448276,29,"['Romance', 'Mystery']"
0553582747,From the Corner of His Eye,Dean Koontz,2001,Bantam Books,8.244444444444444,45,"['Thriller', 'Horror']"
0425182908,Isle of Dogs,Patricia Cornwell,2002,Berkley Publishing Group,5.458333333333333,48,"['Thriller', 'Mystery']"
042518630X,Purity in Death,J.D. Robb,2002,Berkley Publishing Group,7.916666666666667,24,"['Sci-Fi', 'Thriller']"
0440223571,This Year It Will Be Different: And Other Stories,Maeve Binchy,1997,Dell,7.230769230769231,13,"['Romance', 'Mystery']"
0842342702,Left Behind: A Novel of the Earth's Last Days (Left Behind #1),Tim Lahaye,2000,Tyndale House Publishers,6.863636363636363,22,"['Sci-Fi', 'Fantasy']"
0440225701,The Street Lawyer,JOHN GRISHAM,1999,Dell,7.656716417910448,67,['Thriller']
0671623249,LONESOME DOVE,Larry McMurtry,1986,Pocket,8.416666666666666,12,"['Historical', 'Adventure']"
042511774X,Breathing Lessons,Anne Tyler,1994,Berkley Publishing Group,7.428571428571429,28,"['Historical', 'Romance']"
0804106304,The Joy Luck Club,Amy Tan,1994,Prentice Hall (K-12),8.221238938053098,113,['Historical']
0140067477,The Tao of Pooh,Benjamin Hoff,1983,Penguin Books,8.0,62,['Non-Fiction']
0345465083,Seabiscuit,LAURA HILLENBRAND,2003,Ballantine Books,8.88888888888889,27,"['Biography', 'Non-Fiction']"
1558531025,Life's Little Instruction Book (Life's Little Instruction Books (Paperback)),H. Jackson Brown,1991,Thomas Nelson,7.896551724137931,29,['Non-Fiction']
0441783589,Starship Troopers,Robert A. Heinlein,1987,Ace Books,7.823529411764706,17,['Sci-Fi']
0394895894,"The Ruby in the Smoke (Sally Lockhart Trilogy, Book 1)",PHILIP PULLMAN,1988,Laurel Leaf,8.5,6,"['Mystery', 'Young Adult']"
0375410538,Anil's Ghost,MICHAEL ONDAATJE,2000,Knopf,7.25,4,['Historical']
0316769487,The Catcher in the Rye,J.D. Salinger,1991,"Little, Brown",7.62015503875969,129,['Young Adult']
8445071408,El Senor De Los Anillos: LA Comunidad Del Anillo (Lord of the Rings (Spanish)),J. R. R. Tolkien,2001,Minotauro,8.833333333333334,6,"['Fantasy', 'Adventure']"
0679429220,Midnight in the Garden of Good and Evil: A Savannah Story,John Berendt,1994,Random House,8.0,66,"['Historical', 'Mystery']"
0671867156,Pretend You Don't See Her,Mary Higgins Clark,1998,Pocket,7.727272727272727,33,['Thriller']
0312261594,Female Intelligence,Jane Heller,2001,St. Martin's Press,6.333333333333333,9,['Romance']
0446677450,"Rich Dad, Poor Dad: What the Rich Teach Their Kids About Money--That the Poor and Middle Class Do Not!",Robert T. Kiyosaki,2000,Warner Books,8.0,30,['Non-Fiction']
0451166892,The Pillars of the Earth,Ken Follett,1996,Signet Book,8.557692307692308,52,['Historical']
067976397X,Corelli's Mandolin : A Novel,LOUIS DE BERNIERES,1995,Vintage,8.0,21,"['Historical', 'Romance']"
0786868716,The Five People You Meet in Heaven,Mitch Albom,2003,Hyperion,8.057971014492754,138,['Non-Fiction']
0446608653,The Alibi,Sandra Brown,2000,Warner Books,7.083333333333333,12,['Thriller']
0446612545,The Beach House,James Patterson,2003,Warner Books,7.4,45,['Romance']
0446612618,A Kiss Remembered,Sandra Brown,2003,Warner Books,6.428571428571429,7,['Romance']
0451208080,The Short Forever,Stuart Woods,2003,Signet Book,7.4,10,['Thriller']
0553584383,Dead Aim,IRIS JOHANSEN,2004,Bantam Books,7.375,16,['Thriller']
0671027360,Angels &amp; Demons,Dan Brown,2001,Pocket Star,8.222929936305732,157,"['Thriller', 'Mystery']"
0316735736,All He Ever Wanted: A Novel,Anita Shreve,2004,Back Bay Books,8.0,12,['Romance']
0743439740,"Every Breath You Take : A True Story of Obsession, Revenge, and Murder",Ann Rule,2002,Pocket,8.666666666666666,18,"['Non-Fiction', 'True Crime']"
0380619458,The Mosquito Coast,Paul Theroux,1990,Harper Mass Market Paperbacks (Mm),7.875,8,['Adventure']
0671042858,The Girl Who Loved Tom Gordon,Stephen King,2000,Pocket,7.25,52,"['Horror', 'Adventure']"
0425184226,The Sum of All Fears,Tom Clancy,2002,Berkley Publishing Group,7.588235294117647,17,['Thriller']
0060929790,One Hundred Years of Solitude,Gabriel Garcia Marquez,1998,Perennial,8.296296296296296,27,"['Fantasy', 'Historical']"
0060976845,Little Altars Everywhere: A Novel,Rebecca Wells,1996,Perennial,7.539130434782609,115,"['Romance', 'Young Adult']"
0061099325,Coyote Waits (Joe Leaphorn/Jim Chee Novels),Tony Hillerman,1992,HarperTorch,8.1,10,"['Mystery', 'Thriller']"
0671004573,Before I Say Good-Bye,Mary Higgins Clark,2001,Pocket,7.566666666666666,30,"['Thriller', 'Mystery']"
0446601640,Slow Waltz in Cedar Bend,Robert James Waller,1994,Warner Books,7.363636363636363,11,['Romance']
038572179X,Atonement : A Novel,IAN MCEWAN,2003,Anchor,7.813953488372093,43,"['Historical', 'Romance']"
0451410319,Hush,Anne Frasier,2002,Onyx Books,7.444444444444445,9,"['Thriller', 'Romance']"
0553583468,"Whisper of Evil (Hooper, Kay. Evil Trilogy.)",Kay Hooper,2002,Bantam Books,8.130434782608695,23,"['Thriller', 'Romance']"
0380778556,Rebecca,Daphne Du Maurier,1994,Avon,8.038461538461538,26,"['Romance', 'Mystery']"
0451525221,Scarlet Letter,Nathaniel Hawthorne,1993,Signet Book,7.125,8,"['Historical', 'Romance']"
0385336772,Diary of a Mad Mom-To-Be,Laura Wolf,2003,Delta,8.272727272727273,11,"['Non-Fiction', 'Biography']"
044651747X,Puerto Vallarta Squeeze,Robert James Waller,1995,Warner Books,6.7,10,"['Adventure', 'Thriller']"
0446527165,Wish You Well,David Baldacci,2000,Warner Books,7.65,20,"['Historical', 'Biography']"
0671461494,The Hitchhiker's Guide to the Galaxy,Douglas Adams,1982,Pocket,8.555555555555555,9,"['Sci-Fi', 'Adventure']"
0385337639,Crow Lake (Today Show Book Club #7),Mary Lawson,2003,Delta,8.5,16,['Historical']
039575514X,My Antonia,Willa Cather,1995,Mariner Books,8.777777777777779,9,"['Historical', 'Romance']"
0451206673,Pen Pals,Olivia Goldsmith,2002,Signet Book,8.2,15,['Romance']
0330332775,Bridget Jones's Diary,Helen Fielding,1997,Picador (UK),7.372093023255814,43,"['Romance', 'Young Adult']"
0486284735,Pride and Prejudice (Dover Thrift Editions),Jane Austen,1995,Dover Publications,8.416666666666666,12,"['Romance', 'Historical']"
0345354931,Night Mare (Xanth Novels (Paperback)),Piers Anthony,1990,Del Rey Books,7.666666666666667,12,"['Fantasy', 'Adventure']"
0553278223,The Martian Chronicles,RAY BRADBURY,1984,Spectra,8.304347826086957,23,['Sci-Fi']
3257233051,Veronika Deschliesst Zu Sterben / Vernika Decides to Die,Paolo Coelho,2002,Distribooks,8.4,5,"['Romance', 'Mystery']"
0060977493,The God of Small Things,Arundhati Roy,1998,Perennial,7.555555555555555,54,"['Historical', 'Romance']"
0316602906,The Big Bad Wolf: A Novel,James Patterson,2003,"Little, Brown",8.1,30,"['Thriller', 'Mystery']"
0316693006,Four Blind Mice,James Patterson,2002,"Little, Brown",8.55813953488372,43,"['Thriller', 'Mystery']"
0345311396,Private Screening,Richard North Patterson,1994,Ballantine Books,6.428571428571429,7,['Thriller']
0345378490,Congo,Michael Crichton,1995,Ballantine Books,7.293103448275862,58,['Thriller']
0345404793,Protect and Defend,Richard North Patterson,2001,Ballantine Books,7.615384615384615,13,"['Sci-Fi', 'Adventure']"
0375400117,Memoirs of a Geisha,Arthur Golden,1997,Alfred A. Knopf,8.692307692307692,26,['Thriller']
0375705856,Plainsong (Vintage Contemporaries),KENT HARUF,2000,Vintage,7.73170731707317,41,"['Historical', 'Romance']"
0380717018,Body of Evidence (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,1992,Avon,7.675675675675675,37,['Historical']
0380718332,All That Remains (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,1993,Avon,8.222222222222221,45,"['Mystery', 'Thriller']"
0385497466,The Brethren,JOHN GRISHAM,2000,Doubleday,7.157894736842105,38,['Thriller']
0385508042,The King of Torts,John Grisham,2003,Doubleday Books,7.680851063829787,47,['Thriller']
0385509456,The Curious Incident of the Dog in the Night-Time : A Novel,MARK HADDON,2003,Doubleday,8.347826086956522,23,['Mystery']
0385511612,Bleachers,John Grisham,2003,Doubleday,6.6875,48,['Young Adult']
0385730586,Sisterhood of the Traveling Pants,ANN BRASHARES,2003,Delacorte Books for Young Readers,8.386363636363637,44,"['Young Adult', 'Romance']"
0446605484,Roses Are Red (Alex Cross Novels),James Patterson,2001,Warner Vision,8.355555555555556,45,['Thriller']
0446610399,The Rescue,Nicholas Sparks,2001,Warner Books,7.375,48,['Romance']
0449006522,Manhattan Hunt Club,JOHN SAUL,2002,Ballantine Books,8.0,26,['Horror']
